Country,Year,Title,Tasks,Software
USA,2025,Accountants and Auditors,"1. Prepare detailed reports on audit findings. 2. Report to management about asset utilization and audit results, and recommend changes in operations and financial activities. 3. Collect and analyze data to detect deficient controls, duplicated effort, extravagance, fraud, or non-compliance with laws, regulations, and management policies. 4. Inspect account books and accounting systems for efficiency, effectiveness, and use of accepted accounting procedures to record transactions. 5. Supervise auditing of establishments, and determine scope of investigation required. 6. Confer with company officials about financial and regulatory matters. 7. Examine and evaluate financial and information systems, recommending controls to ensure system reliability and data integrity. 8. Inspect cash on hand, notes receivable and payable, negotiable securities, and canceled checks to confirm records are accurate. 9. Examine records and interview workers to ensure recording of transactions and compliance with laws and regulations. 10. Prepare, examine, or analyze accounting records, financial statements, or other financial reports to assess accuracy, completeness, and conformance to reporting and procedural standards. 11. Prepare adjusting journal entries. 12. Review accounts for discrepancies and reconcile differences. 13. Establish tables of accounts and assign entries to proper accounts. 14. Examine inventory to verify journal and ledger entries. 15. Analyze business operations, trends, costs, revenues, financial commitments, and obligations to project future revenues and expenses or to provide advice. 16. Report to management regarding the finances of establishment. 17. Develop, implement, modify, and document recordkeeping and accounting systems, making use of current computer technology. 18. Evaluate taxpayer finances to determine tax liability, using knowledge of interest and discount rates, annuities, valuation of stocks and bonds, and amortization valuation of depletable assets. 19. Examine whether the organization's objectives are reflected in its management activities, and whether employees understand the objectives. 20. Audit payroll and personnel records to determine unemployment insurance premiums, workers' compensation coverage, liabilities, and compliance with tax laws. 21. Review taxpayer accounts, and conduct audits on-site, by correspondence, or by summoning taxpayer to office. 22. Compute taxes owed and prepare tax returns, ensuring compliance with payment, reporting, or other tax requirements. 23. Advise clients in areas such as compensation, employee health care benefits, the design of accounting or data processing systems, or long-range tax or estate plans. 24. Represent clients before taxing authorities and provide support during litigation involving financial issues. 25. Direct activities of personnel engaged in filing, recording, compiling, and transmitting financial records. 26. Conduct pre-implementation audits to determine if systems and programs under development will work as planned.",Tax preparation software; Enterprise resource planning ERP software; Compliance software; Financial analysis software; Accounting software; Analytical or scientific software; Document management software; Data base reporting software; Human resources software; Data base management system software; Inventory management software; Data base user interface and query software; Customer relationship management CRM software; Office suite software; Data mining software; Desktop communications software; Medical software; Development environment software; Word processing software; Spreadsheet software; Presentation software; Business intelligence and data analysis software; Electronic mail software; Enterprise system management software; Information retrieval or search software; Project management software; Desktop publishing software; Cloud-based data access and sharing software; Process mapping and design software; Operating system software; Transaction security and virus protection software; Time accounting software; Object or component oriented development software; Enterprise application integration software; Video creation and editing software; Risk management data and analysis software; Transaction server software
USA,2025,Actors,"1. Collaborate with other actors as part of an ensemble. 2. Portray and interpret roles, using speech, gestures, and body movements, to entertain, inform, or instruct radio, film, television, or live audiences. 3. Work closely with directors, other actors, and playwrights to find the interpretation most suited to the role. 4. Perform humorous and serious interpretations of emotions, actions, and situations, using body movements, facial expressions, and gestures. 5. Study and rehearse roles from scripts to interpret, learn and memorize lines, stunts, and cues as directed. 6. Learn about characters in scripts and their relationships to each other to develop role interpretations. 7. Attend auditions and casting calls to audition for roles. 8. Sing or dance during dramatic or comedic performances. 9. Work with other crew members responsible for lighting, costumes, make-up, and props. 10. Tell jokes, perform comic dances, songs and skits, impersonate mannerisms and voices of others, contort face, and use other devices to amuse audiences. 11. Read from scripts or books to narrate action or to inform or entertain audiences, utilizing few or no stage props. 12. Promote productions using means such as interviews about plays or movies. 13. Prepare and perform action stunts for motion picture, television, or stage productions. 14. Write original or adapted material for dramas, comedies, puppet shows, narration, or other performances. 15. Introduce performances and performers to stimulate excitement and coordinate smooth transition of acts during events. 16. Dress in comical clown costumes and makeup, and perform comedy routines to entertain audiences. 17. Construct puppets and ventriloquist dummies, and sew accessory clothing, using hand tools and machines. 18. Perform original and stock tricks of illusion to entertain and mystify audiences, occasionally including audience members as participants. 19. Manipulate strings, wires, rods, or fingers to animate puppets or dummies in synchronization with talking, singing, or recorded programs.",Video creation and editing software; Electronic mail software; Web page creation and editing software; Data base user interface and query software; Operating system software; Spreadsheet software; Office suite software; Presentation software; Word processing software; Instant messaging software; Internet browser software
USA,2025,Actuaries,"1. Ascertain premium rates required and cash reserves and liabilities necessary to ensure payment of future benefits. 2. Design, review, and help administer insurance, annuity and pension plans, determining financial soundness and calculating premiums. 3. Determine, or help determine, company policy, and explain complex technical matters to company executives, government officials, shareholders, policyholders, or the public. 4. Provide advice to clients on a contract basis, working as a consultant. 5. Analyze statistical information to estimate mortality, accident, sickness, disability, and retirement rates. 6. Construct probability tables for events such as fires, natural disasters, and unemployment, based on analysis of statistical data and other pertinent information. 7. Negotiate terms and conditions of reinsurance with other companies. 8. Collaborate with programmers, underwriters, accounts, claims experts, and senior management to help companies develop plans for new lines of business or improvements to existing business. 9. Determine equitable basis for distributing surplus earnings under participating insurance and annuity contracts in mutual companies. 10. Testify before public agencies on proposed legislation affecting businesses. 11. Determine policy contract provisions for each type of insurance. 12. Testify in court as expert witness or to provide legal evidence on matters such as the value of potential lifetime earnings of a person disabled or killed in an accident. 13. Provide expertise to help financial institutions manage risks and maximize returns associated with investment products or credit offerings. 14. Manage credit and help price corporate security offerings. 15. Explain changes in contract provisions to customers.",Financial analysis software; Object or component oriented development software; Compliance software; Data base user interface and query software; Electronic mail software; Analytical or scientific software; Spreadsheet software; Office suite software; Presentation software; Project management software; Process mapping and design software; Development environment software; Object oriented data base management software; Word processing software; Business intelligence and data analysis software
USA,2025,Acupuncturists,"1. Develop individual treatment plans and strategies. 2. Adhere to local, state, and federal laws, regulations, and statutes. 3. Insert needles to provide acupuncture treatment. 4. Identify correct anatomical and proportional point locations based on patients' anatomy and positions, contraindications, and precautions related to treatments, such as intradermal needles, moxibustion, electricity, guasha, or bleeding. 5. Collect medical histories and general health and lifestyle information from patients. 6. Treat patients using tools, such as needles, cups, ear balls, seeds, pellets, or nutritional supplements. 7. Analyze physical findings and medical histories to make diagnoses according to Oriental medicine traditions. 8. Maintain and follow standard quality, safety, environmental, and infection control policies and procedures. 9. Educate patients on topics, such as meditation, ergonomics, stretching, exercise, nutrition, the healing process, breathing, or relaxation techniques. 10. Dispense herbal formulas and inform patients of dosages and frequencies, treatment duration, possible side effects, and drug interactions. 11. Maintain detailed and complete records of health care plans and prognoses. 12. Assess patients' general physical appearance to make diagnoses. 13. Formulate herbal preparations to treat conditions considering herbal properties, such as taste, toxicity, effects of preparation, contraindications, and incompatibilities. 14. Apply heat or cold therapy to patients using materials, such as heat pads, hydrocollator packs, warm compresses, cold compresses, heat lamps, or vapor coolants. 15. Consider Western medical procedures in health assessment, health care team communication, and care referrals. 16. Evaluate treatment outcomes and recommend new or altered treatments as necessary to further promote, restore, or maintain health. 17. Treat medical conditions, using techniques such as acupressure, shiatsu, or tuina. 18. Apply moxibustion directly or indirectly to patients using Chinese, non-scarring, stick, or pole moxa.",Medical software; Spreadsheet software; Office suite software; Electronic mail software; Operating system software; Word processing software
USA,2025,Adapted Physical Education Specialists,"1. Adapt instructional techniques to the age and skill levels of students. 2. Instruct students, using adapted physical education techniques, to improve physical fitness, gross motor skills, perceptual motor skills, or sports and game achievement. 3. Provide individual or small groups of students with adapted physical education instruction that meets desired physical needs or goals. 4. Provide students positive feedback to encourage them and help them develop an appreciation for physical education. 5. Establish and maintain standards of behavior to create safe, orderly, and effective environments for learning. 6. Provide adapted physical education services to students with intellectual disabilities, autism, traumatic brain injury, orthopedic impairments, or other disabling condition. 7. Assess students' physical progress or needs. 8. Assist in screening or placement of students in adapted physical education programs. 9. Evaluate the motor needs of individual students to determine their need for adapted physical education services. 10. Collaborate with other educational personnel to provide inclusive activities or programs for children with disabilities. 11. Maintain thorough student records to document attendance, participation, or progress, ensuring confidentiality of all records. 12. Advise education professionals of students' physical abilities or disabilities and the accommodations required to enhance their school performance. 13. Communicate behavioral observations and student progress reports to students, parents, teachers, or administrators. 14. Write or modify individualized education plans (IEPs) for students with intellectual or physical disabilities. 15. Write reports to summarize student performance, social growth, or physical development. 16. Prepare lesson plans in accordance with individualized education plans (IEPs) and the functional abilities or needs of students. 17. Attend in-service training, workshops, or meetings to keep abreast of current practices or trends in adapted physical education. 18. Review adapted physical education programs or practices to ensure compliance with government or other regulations. 19. Request or order physical education equipment, following standard procedures. 20. Maintain inventory of instructional equipment, materials, or aids.",Data base user interface and query software; Electronic mail software; Web page creation and editing software; Spreadsheet software; Office suite software; Presentation software; Word processing software; Internet browser software
USA,2025,Adhesive Bonding Machine Operators and Tenders,"1. Align and position materials being joined to ensure accurate application of adhesive or heat sealing. 2. Adjust machine components according to specifications such as widths, lengths, and thickness of materials and amounts of glue, cement, or adhesive required. 3. Monitor machine operations to detect malfunctions and report or resolve problems. 4. Start machines, and turn valves or move controls to feed, admit, apply, or transfer materials and adhesives, and to adjust temperature, pressure, and time settings. 5. Fill machines with glue, cement, or adhesives. 6. Perform test production runs and make adjustments as necessary to ensure that completed products meet standards and specifications. 7. Examine and measure completed materials or products to verify conformance to specifications, using measuring devices such as tape measures, gauges, or calipers. 8. Read work orders and communicate with coworkers to determine machine and equipment settings and adjustments and supply and product specifications. 9. Remove and stack completed materials or products, and restock materials to be joined. 10. Observe gauges, meters, and control panels to obtain information about equipment temperatures and pressures, or the speed of feeders or conveyors. 11. Maintain production records such as quantities, dimensions, and thicknesses of materials processed. 12. Remove jammed materials from machines and readjust components as necessary to resume normal operations. 13. Mount or load material such as paper, plastic, wood, or rubber in feeding mechanisms of cementing or gluing machines. 14. Transport materials, supplies, and finished products between storage and work areas, using forklifts. 15. Clean and maintain gluing and cementing machines, using solutions, lubricants, brushes, and scrapers. 16. Measure and mix ingredients to prepare glue. 17. Depress pedals to lower electrodes that heat and seal edges of material.",Enterprise resource planning ERP software; Spreadsheet software; Office suite software; Presentation software; Word processing software
USA,2025,"Administrative Law Judges, Adjudicators, and Hearing Officers","1. Determine existence and amount of liability according to current laws, administrative and judicial precedents, and available evidence. 2. Monitor and direct the activities of trials and hearings to ensure that they are conducted fairly and that courts administer justice while safeguarding the legal rights of all involved parties. 3. Prepare written opinions and decisions. 4. Authorize payment of valid claims and determine method of payment. 5. Conduct hearings to review and decide claims regarding issues, such as social program eligibility, environmental protection, or enforcement of health and safety regulations. 6. Research and analyze laws, regulations, policies, and precedent decisions to prepare for hearings and to determine conclusions. 7. Review and evaluate data on documents, such as claim applications, birth or death certificates, or physician or employer records. 8. Recommend the acceptance or rejection of claims or compromise settlements according to laws, regulations, policies, and precedent decisions. 9. Rule on exceptions, motions, and admissibility of evidence. 10. Explain to claimants how they can appeal rulings that go against them. 11. Confer with individuals or organizations involved in cases to obtain relevant information. 12. Issue subpoenas and administer oaths in preparation for formal hearings. 13. Schedule hearings. 14. Conduct studies of appeals procedures in field agencies to ensure adherence to legal requirements and to facilitate determination of cases.",Document management software; Legal management software; Electronic mail software; Instant messaging software; Information retrieval or search software; Data base user interface and query software; Spreadsheet software; Office suite software; Presentation software; Operating system software; Word processing software; Enterprise resource planning ERP software; Video conferencing software; Internet browser software
USA,2025,Administrative Services Managers,"1. Prepare and review operational reports and schedules to ensure accuracy and efficiency. 2. Set goals and deadlines for the department. 3. Acquire, distribute and store supplies. 4. Analyze internal processes and recommend and implement procedural or policy changes to improve operations, such as supply changes or the disposal of records. 5. Conduct classes to teach procedures to staff. 6. Plan, administer, and control budgets for contracts, equipment, and supplies. 7. Hire and terminate clerical and administrative personnel. 8. Direct or coordinate the supportive services department of a business, agency, or organization.",Document management software; Desktop publishing software; Human resources software; Content workflow software; Computer aided design CAD software; Customer relationship management CRM software; Data base user interface and query software; Financial analysis software; Electronic mail software; Accounting software; Word processing software; Cloud-based data access and sharing software; Instant messaging software; Enterprise system management software; Analytical or scientific software; Information retrieval or search software; Web page creation and editing software; Medical software; Enterprise resource planning ERP software; Spreadsheet software; Internet browser software; Office suite software; Presentation software; Project management software; Process mapping and design software; Operating system software; Object or component oriented development software; Data base reporting software; Industrial control software; Data base management system software
USA,2025,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","1. Observe and evaluate students' work to determine progress and make suggestions for improvement. 2. Observe students to determine qualifications, limitations, abilities, interests, and other individual characteristics. 3. Establish clear objectives for all lessons, units, and projects and communicate those objectives to students. 4. Adapt teaching methods and instructional materials to meet students' varying needs, abilities, and interests. 5. Prepare students for further education by encouraging them to explore learning opportunities and to persevere with challenging tasks. 6. Prepare materials and classrooms for class activities. 7. Instruct students individually and in groups, using various teaching methods, such as lectures, discussions, and demonstrations. 8. Plan and conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate. 9. Assign and grade class work and homework. 10. Maintain accurate and complete student records as required by laws or administrative policies. 11. Conduct classes, workshops, and demonstrations to teach principles, techniques, or methods in subjects, such as basic English language skills, life skills, and workforce entry skills. 12. Establish and enforce rules for behavior and procedures for maintaining order among the students for whom they are responsible. 13. Prepare and administer written, oral, and performance tests and issue grades in accordance with performance. 14. Prepare and implement remedial programs for students requiring extra help. 15. Prepare for assigned classes and show written evidence of preparation upon request of immediate supervisors. 16. Enforce administration policies and rules governing students. 17. Use computers, audio-visual aids, and other equipment and materials to supplement presentations. 18. Prepare objectives and outlines for courses of study, following curriculum guidelines or requirements of states and schools. 19. Prepare reports on students and activities as required by administration. 20. Review instructional content, methods, and student evaluations to assess strengths and weaknesses, and to develop recommendations for course revision, development, or elimination. 21. Register, orient, and assess new students according to standards and procedures. 22. Collaborate with other teachers and professionals in the development of instructional programs. 23. Attend staff meetings and serve on committees, as required. 24. Meet with other professionals to discuss individual students' needs and progress. 25. Guide and counsel students with adjustment or academic problems or special academic interests. 26. Select, order, and issue books, materials, and supplies for courses or projects. 27. Attend professional meetings, conferences, and workshops to maintain and improve professional competence. 28. Confer with other staff members to plan and schedule lessons that promote learning, following approved curricula. 29. Plan and supervise class projects, field trips, visits by guest speakers, contests, or other experiential activities, and guide students in learning from those activities. 30. Provide disabled students with assistive devices, supportive technology, and assistance accessing facilities, such as restrooms. 31. Provide information, guidance, and preparation for the General Equivalency Diploma (GED) examination. 32. Select and schedule class times to ensure maximum attendance. 33. Train and assist tutors and community literacy volunteers. 34. Observe and evaluate the performance of other instructors. 35. Confer with leaders of government and community groups to coordinate student training or to find opportunities for students to fulfill curriculum requirements. 36. Participate in publicity planning, community awareness efforts, and student recruitment. 37. Advise students on internships, prospective employers, and job placement services. 38. Write grants to obtain program funding. 39. Write instructional articles on designated subjects.",Graphics or photo imaging software; Computer based training software; Desktop communications software; Multi-media educational software; Web page creation and editing software; Spreadsheet software; Office suite software; Electronic mail software; Presentation software; Desktop publishing software; Word processing software; Enterprise resource planning ERP software; Internet browser software
USA,2025,Advertising Sales Agents,"1. Prepare and deliver sales presentations to new and existing customers to sell new advertising programs and to protect and increase existing advertising. 2. Maintain assigned account bases while developing new accounts. 3. Provide clients with estimates of the costs of advertising products or services. 4. Locate and contact potential clients to offer advertising services. 5. Explain to customers how specific types of advertising will help promote their products or services in the most effective way possible. 6. Obtain and study information about clients' products, needs, problems, advertising history, and business practices to offer effective sales presentations and appropriate product assistance. 7. Prepare promotional plans, sales literature, media kits, and sales contracts, using computer. 8. Process all correspondence and paperwork related to accounts. 9. Draw up contracts for advertising work, and collect payments due. 10. Deliver advertising or illustration proofs to customers for approval. 11. Inform customers of available options for advertisement artwork, and provide samples. 12. Recommend appropriate sizes and formats for advertising, depending on medium used. 13. Write copy as part of layout. 14. Determine advertising medium to be used, and prepare sample advertisements within the selected medium for presentation to customers. 15. Gather all relevant material for bid processes, and coordinate bidding and contract approval. 16. Consult with company officials, sales departments, and advertising agencies to develop promotional plans. 17. Identify new advertising markets, and propose products to serve them. 18. Arrange for commercial taping sessions, and accompany clients to sessions. 19. Attend sales meetings, industry trade shows, and training seminars to gather information, promote products, expand network of contacts, and increase knowledge. 20. Write sales outlines for use by staff.",Desktop publishing software; Graphics or photo imaging software; Calendar and scheduling software; Customer relationship management CRM software; Electronic mail software; Data base user interface and query software; Sales and marketing software; Enterprise resource planning ERP software; Spreadsheet software; Office suite software; Presentation software; Word processing software; Internet browser software
